match_key,career_match_index,career_stage,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,match_no,total_matches_that_day,total_sets_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_num,opponent,opponent_slug,season_opponent_num,is_repeat_opponent,deaf_school,match_type,event_name,milestone_flag,result,set_scores,set_result,was_set_swept,swept_opponent,set_count,set_diff,comeback_win,win_streak,loss_streak,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,location,did_play,maxpreps
FR_09-27_MCLEAN_1,,,FR,13,2016-09-27,Tuesday,4,3,1,1,3,False,,,1,McLean,MCLEAN,1,False,False,sick,,,W,"25-13,25-12,25-4",3-0,False,True,3,3,False,2,0,75,29,0.4423076923076923,False,False,away,False,https://www.maxpreps.com/games/09-27-2016/volleyball-16/mclean-vs-model-secondary-school-for-the-deaf.htm?c=ySNeF2UEdk6EgKi-o-mblA
FR_10-04_OAKCREST_1,12,early,FR,14,2016-10-04,Tuesday,5,7,1,1,3,False,,,1,Oakcrest,OAKCREST,1,False,False,conference,,,W,"25-23,25-8,25-11",3-0,False,True,3,3,False,3,0,75,42,0.28205128205128205,False,False,home,True,https://www.maxpreps.com/games/10-04-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-oakcrest.htm?c=aUV_nOezW0CdAXm48_6bgg#tab=box-score&schoolid=
FR_10-07_MSD_1,13,early,FR,15,2016-10-07,Friday,6,3,1,4,10,True,True,False,1,Maryland School for the Deaf,MSD,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"10-25,17-25",0-2,True,False,2,-2,False,0,1,27,50,-0.2987012987012987,False,False,neutral,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=owB3x6209kypjGTlkFpyUg#tab=box-score&schoolid=
FR_10-07_CSDR_2,14,early,FR,16,2016-10-07,Friday,6,0,2,4,10,True,False,False,1,California School for the Deaf-Riverside,CSDR,1,False,True,regular,SpikeOut 2016 @ Indiana,,W,"20-25,25-23,15-12",2-1,False,False,3,1,True,1,0,60,60,0.0,False,False,neutral,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=591mwas5f0WoifVu5uqlog#tab=box-score&schoolid=
FR_10-07_TSD_3,15,early,FR,17,2016-10-07,Friday,6,0,3,4,10,True,False,False,1,Texas School for the Deaf,TSD,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"11-25,16-25",0-2,True,False,2,-2,False,0,1,27,50,-0.2987012987012987,False,False,neutral,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=AZ1n_IF5o0qp55V7f-lMvg#tab=box-score&schoolid=
FR_10-07_CSDF_4,16,early,FR,18,2016-10-07,Friday,6,0,4,4,10,True,False,True,1,California School for the Deaf,CSDF,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"25-21,14-25,9-15",1-2,False,False,3,-1,False,0,2,48,61,-0.11926605504587157,False,False,neutral,True,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=2GJMycrpkUGekllexQB5WQ#tab=box-score&schoolid=
FR_10-08_ISD_1,19,early,FR,19,2016-10-08,Saturday,6,1,1,3,7,True,True,False,1,Indiana School for the Deaf,ISD,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"14-25,14-25",0-2,True,False,2,-2,False,0,3,28,50,-0.28205128205128205,False,False,neutral,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=wj2y6CuesEukVstn_5dczA#tab=box-score&schoolid=
FR_10-08_CSDF_2,18,early,FR,20,2016-10-08,Saturday,6,0,2,3,7,True,False,False,1,California School for the Deaf,CSDF,2,True,True,regular,SpikeOut 2016 @ Indiana,,L,"18-25,20-25",0-2,True,False,2,-2,False,0,4,38,50,-0.13636363636363635,False,False,neutral,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=fuAmSgfRsUuIfu9RrW5Euw#tab=box-score&schoolid=
FR_10-08_CSDR_3,17,early,FR,21,2016-10-08,Saturday,6,0,3,3,7,True,False,True,1,California School for the Deaf-Riverside,CSDR,2,True,True,regular,SpikeOut 2016 @ Indiana,,L,"27-25,17-25,9-15",1-2,False,False,3,-1,False,0,5,53,65,-0.1016949152542373,False,False,neutral,True,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=EOTlFc410ESAEZ792PdFiA#tab=box-score&schoolid=
FR_10-11_RB_1,20,early,FR,22,2016-10-11,Tuesday,6,3,1,1,3,False,,,1,Riverdale Baptist,RB,2,True,False,regular,,,W,"25-15,25-11,25-12",3-0,False,True,3,3,False,1,0,75,38,0.3274336283185841,False,False,home,True,https://www.maxpreps.com/games/10-11-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-riverdale-baptist.htm?c=LTfs0953zkmtl3g-YTlQmw#tab=box-score&schoolid=
