match_key,career_match_index,career_stage,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,match_no,total_matches_that_day,total_sets_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_num,opponent,opponent_slug,season_opponent_num,is_repeat_opponent,deaf_school,match_type,event_name,milestone_flag,result,set_scores,set_count,set_result,set_diff,location,comeback_win,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,did_play,played_all_sets,stats_available,season_highs_flags,career_highs_flags,record_breaker_flag,deciding_set_win,deciding_set_loss,low_error_game,win_streak,loss_streak,was_set_swept,swept_opponent,deciding_set_played,sets_played,kills,kills_per_set,kill_pct,kill_attempts,kill_errors,hit_pct,assists,assists_per_set,ball_handling_attempts,ball_handling_errors,solo_blocks,assisted_blocks,total_blocks,blocks_per_set,block_errors,digs,dig_errors,digs_per_set,receiving,receiving_errors,receiving_per_set,aces,aces_per_set,ace_pct,serve_attempts,serve_errors,serve_pct,points,maxpreps
FR_09-24_WILSON_4,9,early,FR,11,2016-09-24,Saturday,4,0,4,5,9,True,False,False,1,Woodrow Wilson,WILSON,1,False,False,regular,Model Invitational 2016,,L,"12-25,23-25",2,0-2,-2,home,False,35,50,-0.176,False,False,True,True,True,,,False,False,False,False,0,1,True,False,False,2,4.0,2.0,25.0,16.0,6.0,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,50.0,4,0,100.0,0,https://www.maxpreps.com/games/09-24-2016/volleyball-16/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=N6-HRS3cNkOz2AJD_0rVbw#tab=box-score&schoolid=
FR_09-24_SIDWELL_5,8,early,FR,12,2016-09-24,Saturday,4,0,5,5,9,True,False,True,2,Sidwell Friends,SIDWELL,2,True,False,regular,Model Invitational 2016,,W,"17-25,25-23,15-9",3,2-1,1,home,True,57,57,0.0,False,False,True,True,True,,,False,False,False,False,1,0,False,False,True,3,6.0,2.0,42.9,14.0,0.0,0.429,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,8.0,1.0,2.7,0.0,0.0,0.0,4,2,50.0,0,https://www.maxpreps.com/games/09-24-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=XwBzBi0pnUmHClGqHKF48g#tab=box-score&schoolid=
FR_09-27_MCLEAN_1,,,FR,13,2016-09-27,Tuesday,4,3,1,1,3,False,,,1,McLean,MCLEAN,1,False,False,sick,,,W,"25-13,25-12,25-4",3,3-0,3,away,False,75,29,0.442,False,False,False,False,True,,,False,False,False,False,2,0,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.maxpreps.com/games/09-27-2016/volleyball-16/mclean-vs-model-secondary-school-for-the-deaf.htm?c=ySNeF2UEdk6EgKi-o-mblA
FR_10-04_OAKCREST_1,12,early,FR,14,2016-10-04,Tuesday,5,7,1,1,3,False,,,1,Oakcrest,OAKCREST,1,False,False,conference,,,W,"25-23,25-8,25-11",3,3-0,3,home,False,75,42,0.282,False,False,True,True,True,kills;total_blocks,,False,False,False,False,3,0,False,True,False,3,11.0,3.7,50.0,22.0,2.0,0.409,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,0.0,12.0,0.0,4.0,7.0,4.0,2.3,5.0,1.7,50.0,10,1,90.0,0,https://www.maxpreps.com/games/10-04-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-oakcrest.htm?c=aUV_nOezW0CdAXm48_6bgg#tab=box-score&schoolid=
FR_10-07_MSD_1,13,early,FR,15,2016-10-07,Friday,6,3,1,4,10,True,True,False,1,Maryland School for the Deaf,MSD,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"10-25,17-25",2,0-2,-2,neutral,False,27,50,-0.299,False,False,True,True,True,total_blocks,,False,False,False,False,0,1,True,False,False,2,3.0,1.5,15.0,20.0,4.0,-0.05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,2.0,0.0,1.0,10.0,1.0,5.0,0.0,0.0,0.0,3,0,100.0,0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=owB3x6209kypjGTlkFpyUg#tab=box-score&schoolid=
FR_10-07_CSDR_2,14,early,FR,16,2016-10-07,Friday,6,0,2,4,10,True,False,False,1,California School for the Deaf-Riverside,CSDR,1,False,True,regular,SpikeOut 2016 @ Indiana,,W,"20-25,25-23,15-12",3,2-1,1,neutral,True,60,60,0.0,False,False,True,True,True,,,False,False,False,False,1,0,False,False,True,3,6.0,2.0,28.6,21.0,3.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,7.0,2.0,2.3,1.0,0.3,8.3,12,0,100.0,0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=591mwas5f0WoifVu5uqlog#tab=box-score&schoolid=
FR_10-07_TSD_3,15,early,FR,17,2016-10-07,Friday,6,0,3,4,10,True,False,False,1,Texas School for the Deaf,TSD,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"11-25,16-25",2,0-2,-2,neutral,False,27,50,-0.299,False,False,True,True,True,,,False,False,False,False,0,1,True,False,False,2,2.0,1.0,15.4,13.0,3.0,-0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.5,9.0,3.0,4.5,0.0,0.0,0.0,2,2,0.0,0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=AZ1n_IF5o0qp55V7f-lMvg#tab=box-score&schoolid=
FR_10-07_CSDF_4,16,early,FR,18,2016-10-07,Friday,6,0,4,4,10,True,False,True,1,California School for the Deaf,CSDF,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"25-21,14-25,9-15",3,1-2,-1,neutral,False,48,61,-0.119,False,False,True,True,True,total_blocks,,False,False,False,False,0,2,False,False,True,3,3.0,1.0,21.4,14.0,2.0,0.071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,2.0,0.0,0.7,16.0,4.0,5.3,0.0,0.0,0.0,5,1,80.0,0,https://www.maxpreps.com/games/10-07-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=2GJMycrpkUGekllexQB5WQ#tab=box-score&schoolid=
FR_10-08_ISD_1,19,early,FR,19,2016-10-08,Saturday,6,1,1,3,7,True,True,False,1,Indiana School for the Deaf,ISD,1,False,True,regular,SpikeOut 2016 @ Indiana,,L,"14-25,14-25",2,0-2,-2,neutral,False,28,50,-0.282,False,False,True,True,True,,,False,False,False,False,0,3,True,False,False,2,2.0,1.0,15.4,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,10.0,4.0,5.0,0.0,0.0,0.0,3,0,100.0,0,https://www.maxpreps.com/games/10-08-2016/volleyball-16/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=wj2y6CuesEukVstn_5dczA#tab=box-score&schoolid=
FR_10-08_CSDF_2,18,early,FR,20,2016-10-08,Saturday,6,0,2,3,7,True,False,False,1,California School for the Deaf,CSDF,2,True,True,regular,SpikeOut 2016 @ Indiana,,L,"18-25,20-25",2,0-2,-2,neutral,False,38,50,-0.136,False,False,True,True,True,total_blocks,,False,False,False,False,0,4,True,False,False,2,9.0,4.5,47.4,19.0,1.0,0.421,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,7.0,0.0,3.5,14.0,1.0,7.0,0.0,0.0,0.0,7,0,100.0,0,https://www.maxpreps.com/games/10-08-2016/volleyball-16/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=fuAmSgfRsUuIfu9RrW5Euw#tab=box-score&schoolid=
