date,opponent,result,set_scores,set_result,set_count,set_diff,h_a_n,is_conference,is_playoffs,is_tournament,maxpreps
10/04,California School for the Deaf,W,"25-14,25-17",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/10-04-2019/volleyball-19/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=5B-gOLdv6UqIHutSwlg3gQ
10/04,Texas School for the Deaf,L,"22-25,11-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-04-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=1CZVdjkiLESPmWMPwddQIg
10/04,California School for the Deaf-Riverside,W,"22-25,25-23,15-14",2-1,3,1,away,False,False,True,https://www.maxpreps.com/games/10-04-2019/volleyball-19/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=pihzlNYVq0a9p059m_dfLg
10/05,Indiana School for the Deaf,W,"25-17,25-13",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/10-05-2019/volleyball-19/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=uxhCmqiCxkuRNURdxgYWrw
10/05,Texas School for the Deaf,L,"16-25,14-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-05-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=9lwl75e5H0CKfKiPKkOvmA
10/08,Oakcrest,W,"25-13,25-21,25-19",3-0,3,3,home,False,False,False,https://www.maxpreps.com/games/10-08-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-oakcrest.htm?c=L00XN2jRbEC6wBbufPDRRA
10/10,Berman Hebrew Academy,W,"25-17,25-9,25-7",3-0,3,3,home,True,False,False,https://www.maxpreps.com/games/10-10-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-varsity-opponent.htm?c=9tYDUg4qF0qxW7tK_Ln9KQ
10/12,Roosevelt,L,"18-25,25-23,12-15",1-2,3,-1,neutral,False,False,True,https://www.maxpreps.com/games/10-12-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-roosevelt.htm?c=CXg2zA5gMECXIs3SwzgDtQ
10/12,Princess Anne,L,"13-25,12-25",0-2,2,-2,neutral,False,False,True,https://www.maxpreps.com/games/10-12-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-princess-anne.htm?c=Wdf7AW-Qs0uZ5kj5J-9Pkg
10/12,Mount Airy Christian Academy,W,"25-18,25-18",2-0,2,2,neutral,False,False,True,https://www.maxpreps.com/games/10-12-2019/volleyball-19/model-secondary-school-for-the-deaf-vs-mount-airy-christian-academy.htm?c=0jccxebo90SvebpstwJWUg
